variant,building_id,weather_key,seed,kpi,param,param_index,S1,ST,interaction_gap,n_rows,variance,rank_S1,rank_ST
V3,DESHPDHK0000lce9_3,TRY_A,1,heat_demand_kWh,baseACH,0,0.32978969023137,0.28653698826431334,-0.04325270196705666,128,181938062.33582112,1,1
V3,DESHPDHK0000lce9_3,TRY_A,1,heat_demand_kWh,yoc_shift,1,0.1796535366059189,0.23284321321373871,0.053189676607819814,128,181938062.33582112,4,2
V3,DESHPDHK0000lce9_3,TRY_A,1,heat_demand_kWh,shadingFactor,3,0.20548557470687515,0.21542590550363008,0.009940330796754937,127,181938062.33582112,2,3
V3,DESHPDHK0000lce9_3,TRY_A,1,heat_demand_kWh,tset_mean_C,2,0.18970813052639077,0.18840742512353748,-0.0013007054028532916,128,181938062.33582112,3,4
V3,DESHPDHK0000lce9_3,TRY_A,1,heat_demand_kWh,gWin,4,0.08889864959590255,0.06600472297154232,-0.022893926624360225,128,181938062.33582112,5,5
V3,DESHPDHK0000lce9_3,TRY_A,1,heat_demand_kWh,gains_scale,5,0.011161521793687922,0.008314230044579856,-0.0028472917491080656,128,181938062.33582112,6,6
V3,DESHPDHK0000lce9_3,TRY_B,1,heat_demand_kWh,baseACH,0,0.551837931917011,0.5093717689135988,-0.042466163003412216,128,595404142.5982342,1,1
V3,DESHPDHK0000lce9_3,TRY_B,1,heat_demand_kWh,yoc_shift,1,0.16887298256724195,0.21830226453234813,0.04942928196510618,128,595404142.5982342,2,2
V3,DESHPDHK0000lce9_3,TRY_B,1,heat_demand_kWh,shadingFactor,3,0.11392502955735584,0.11790585137914181,0.003980821821785968,128,595404142.5982342,3,3
V3,DESHPDHK0000lce9_3,TRY_B,1,heat_demand_kWh,tset_mean_C,2,0.10443594738646685,0.10309664152415307,-0.001339305862313775,128,595404142.5982342,4,4
V3,DESHPDHK0000lce9_3,TRY_B,1,heat_demand_kWh,gWin,4,0.06528842673976963,0.03964422652215732,-0.02564420021761231,128,595404142.5982342,5,5
V3,DESHPDHK0000lce9_3,TRY_B,1,heat_demand_kWh,gains_scale,5,0.008567776819710408,0.006193598716125901,-0.0023741781035845075,128,595404142.5982342,6,6
